,molecule_chembl_id,bioactivity_class,canonical_smiles,MW,LogP,NumHDonors,NumHAcceptors,pIC50
5268,CHEMBL1161718,active,C=C1c2cc(Cl)ccc2N=C2CCCCCN12,246.74099999999996,4.230300000000003,0.0,2.0,6.299997602857746
5269,CHEMBL4287748,active,C[N+](C)(CC#CCOC1=NOCC1)CCCCCCCCCCNc1c2c(nc3ccccc13)CCCC2,519.7540000000004,6.476500000000007,1.0,5.0,8.750068243365805
5270,CHEMBL2064465,active,CCN(CCC(=O)N1CCN(CCNc2c3c(nc4ccccc24)CCCC3)CC1)C1CCCCC1,491.7240000000005,4.714400000000004,1.0,5.0,8.303643611266669
5271,CHEMBL3753405,active,COc1cccc2cc(CNCCCCCCCNc3c4c(nc5ccccc35)CCCCC4)oc12,485.67200000000025,7.4107000000000065,2.0,5.0,8.59176003468815
5272,CHEMBL5169783,inactive,CC(=O)N1N=C(c2ccc(-c3ccccc3)cc2)CC1c1ccccc1,340.42600000000004,5.051200000000004,0.0,2.0,2.876801924968001
5273,CHEMBL5203777,inactive,Cc1cccc2sc(NC(=O)CCN3CCN(C4CCCCC4)CC3)nc12,386.5650000000003,3.883620000000003,1.0,5.0,4.962175249411658
5274,CHEMBL5440621,inactive,CN(C)CCCN1C(=O)CSC1c1ccc(Cl)cc1,298.83900000000006,2.865700000000001,0.0,3.0,3.6989700043360183
5276,CHEMBL4785201,active,COc1cc2c(cc1O)CCC(C)(CCNCCCCCCCCCNc1c3c(nc4cc(Cl)ccc14)CCCC3)O2,594.24,8.387400000000007,3.0,6.0,9.568636235841012
5277,CHEMBL140770,active,COc1ccc2c(c1)C(=O)N(CCC1CCN(Cc3ccccc3)CC1)C2=O,378.4720000000001,3.5935000000000024,0.0,4.0,8.096910013008056
5278,CHEMBL4286677,inactive,Nc1ccc(O)c(Cn2ccnc2)c1,189.21800000000005,1.2191999999999998,2.0,4.0,3.3165026823201886
5279,CHEMBL3597000,inactive,CCOC(=O)C1=C(Nc2ccccc2)C[C@@H](c2ccccc2)N(c2ccccc2)[C@@H]1c1ccccc1,474.60400000000016,7.308600000000006,1.0,4.0,2.530177984021837
5280,CHEMBL3216554,active,CC1=CC2Cc3nc4cc(Cl)ccc4c(NCCCCCCCCCCNc4c5c(nc6ccccc46)CCCC5)c3C(C1)C2,621.3130000000001,10.95599999999999,2.0,4.0,8.377785977033705
5281,CHEMBL5191187,active,CC(=O)N1N=C(c2ccccc2[N+](=O)[O-])CC1c1ccc(-c2ccccc2)cc1,385.42300000000006,4.959400000000004,0.0,4.0,7.2839966563652
5284,CHEMBL4787690,active,O=c1c(-c2ccc(OCCCCN3CCCCC3)cc2)coc2cc(OCCCCN3CCCCC3)cc(O)c12,548.7240000000004,6.455400000000009,1.0,7.0,6.091514981121351
5285,CHEMBL4519239,active,CSc1ccc(C2SCC(=O)N2c2ccc3oc(=O)ccc3c2)cc1,369.467,4.293500000000003,0.0,5.0,6.507239610973162
5287,CHEMBL435763,inactive,O/N=C/c1nc(-c2ccccc2)no1,189.174,1.5446999999999995,1.0,5.0,3.0
5288,CHEMBL1783527,active,CC(C)C1=N[C@H]2CC[C@]34C[C@]35C(=O)C[C@]3(C)[C@@H]([C@H](C)N(C)CCCc6ccccc6)[C@H](O)C[C@@]3(C)[C@@H]5CC[C@H]4[C@]2(C)CS1,604.9450000000002,7.67840000000001,1.0,5.0,7.119186407719209
5289,CHEMBL4465315,active,O=C1N/C(=N\c2ccc3oc(=O)ccc3c2)S/C1=C/c1ccc(Cl)cc1,382.8280000000001,4.338000000000003,1.0,5.0,6.760700520873107
5290,CHEMBL3628066,active,COc1ccc2[nH]cc(CCNC(=O)/C=C/c3cc[n+](Cc4ccccc4F)cc3)c2c1,430.5030000000001,4.023500000000003,2.0,2.0,6.585026652029182
5291,CHEMBL5203299,inactive,CCOCCN1CCN(CCC(=O)Nc2nc3c(C)cccc3s2)CC1,376.5260000000001,2.5874200000000007,1.0,6.0,4.697236291527018
5292,CHEMBL133906,active,Cc1cccc2nc3c(c(N)c12)CCCC3,212.29599999999996,3.004220000000002,1.0,2.0,7.00436480540245
5294,CHEMBL3597001,inactive,COC(=O)C1=C(Nc2ccccc2)C[C@@H](c2ccccc2)N(c2ccccc2)[C@@H]1c1ccccc1,460.5770000000001,6.918500000000006,1.0,4.0,2.18575240426808
5295,CHEMBL173309,active,CCN(CCCCCC(=O)N(C)CCCCCCCCN(C)C(=O)CCCCCN(CC)Cc1ccccc1OC)Cc1ccccc1OC,695.0460000000003,8.426000000000007,0.0,6.0,7.730020323354676
5296,CHEMBL1084531,active,c1ccc2c(NCCCCCCCCCCNc3ccncc3)c3c(nc2c1)CCCC3,430.6400000000002,7.153400000000007,2.0,4.0,6.7544873321858505
5297,CHEMBL3605426,inactive,CN(C)CCC[C@@]1(c2ccc(F)cc2)OCc2cc(-c3nnc(-c4ccc(F)cc4)[nH]3)ccc21,460.5280000000001,5.532500000000005,1.0,4.0,3.583975595973466
5300,CHEMBL241974,active,CCN(CCCCCCNC1=CC(=O)C(NCCCCCCN(CC)Cc2cccnc2)=CC1=O)Cc1cccnc1,574.8140000000004,5.040200000000004,2.0,8.0,6.876148359032914
5301,CHEMBL4091683,active,CCN(CCCCN1C(=O)c2ccccc2C1=O)Cc1ccccc1,336.4350000000001,3.584900000000003,0.0,3.0,6.167491087293763
5302,CHEMBL4857955,active,O=C(Nc1cncc(C(=O)NC2CCN(Cc3ccccc3)CC2)c1)c1ccnc(NC(=O)C2CC2)c1,498.5870000000003,3.4718000000000018,3.0,6.0,6.206209615309182
5303,CHEMBL12089,active,COc1ccc2cc3[n+](cc2c1OC)CCc1cc2c(cc1-3)OCO2,336.3670000000001,3.096300000000001,0.0,4.0,6.111259039317107
5306,CHEMBL4780148,active,COc1cc2c(cc1OC)/C(=C/c1ccc(N3CCCCC3)c(O)c1)OC2=O,381.42800000000017,4.068200000000003,1.0,6.0,7.301029995663981
5307,CHEMBL4778409,active,COc1cc2c(cc1OC)/C(=C\c1ccc(N3CCCCC3)c(O)c1)OC2=O,381.42800000000017,4.068200000000003,1.0,6.0,7.920818753952375
5308,CHEMBL3339000,inactive,CCCN(CCC)CCCOc1ccc(C(=O)/C=C/c2ccccc2)cc1,365.517,5.473600000000006,0.0,3.0,4.608535588160897
5311,CHEMBL2160223,inactive,CCN(CC)CCOc1cccc(C(=O)c2c(-c3ccc(OCCCCCCCN(C)Cc4ccccc4)cc3)oc3ccccc23)c1,646.8720000000005,9.5127,0.0,6.0,4.430626090384954
5312,CHEMBL4210274,inactive,COc1ccc(Cn2cc(C(=O)NCCCCCCCCNc3c4c(nc5ccc(OC)cc35)CCCC4)c(=O)c3ccccc32)cc1,646.8320000000003,7.676500000000009,2.0,7.0,4.129011186239425
5313,CHEMBL4534662,active,COc1cc(/C=C/C(=O)NCCNc2c3c(nc4ccccc24)CCCC3)ccc1OCc1ccccc1,507.6340000000003,5.942700000000006,2.0,5.0,7.258848401148215
5314,CHEMBL1202930,inactive,CN(C)CCCN1C(=O)CSC1c1ccncc1,265.382,1.6072999999999995,0.0,4.0,3.6989700043360183
5315,CHEMBL2375483,active,Brc1cccc(-c2nnc3sc(-c4ccoc4)nn23)c1,347.197,3.875300000000002,0.0,6.0,6.46344155742847
5316,CHEMBL2368067,inactive,C/C=C(\C)C(=O)N[C@H]1CC[C@@]2(C)C(=CC[C@H]3[C@@H]4CC[C@H]([C@H](C)N(C)C)[C@@]4(C)CC[C@@H]32)[C@H]1O,442.6880000000002,4.937300000000006,2.0,3.0,4.519999959791458
